,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,21.62,20.73,15.28,8.97,103.83,-1.03,13.43,20.76,4.09,45.44,0.18
61,2011,20.12,20.7,14.01,7.93,142.81,-1.98,14.93,28.41,7.41,46.01,0.17
62,2012,20.18,20.69,13.97,7.8,131.46,-0.72,10.62,17.96,1.39,44.49,0.17
63,2013,21.46,20.69,15.28,9.13,177.17,-1.41,14.38,21.97,3.31,45.93,0.12
64,2014,20.07,20.73,13.77,7.49,141.37,-0.6,16.68,24.33,6.46,46.4,0.16
65,2015,21.01,20.81,15.08,9.19,184.29,-0.82,13.99,27.62,2.73,48.74,0.22
66,2016,21.49,20.9,15.45,9.44,201.6,-0.67,11.4,16.28,4.79,48.76,0.1
67,2017,20.88,21.01,14.71,8.57,152.36,-0.33,9.54,20.06,1.68,46.97,0.16
68,2018,20.8,21.12,14.6,8.43,134.75,-1.61,11.66,19.23,5.0,45.58,0.17
69,2019,21.43,21.23,15.36,9.33,165.85,-0.7,9.91,17.96,1.12,47.19,0.21
70,2020,20.54,21.34,14.44,8.38,132.05,-1.28,21.56,31.01,15.11,47.42,0.15
71,2021,21.97,21.44,15.52,9.11,92.52,-1.88,13.71,21.52,1.91,43.85,0.25
72,2022,21.35,21.54,15.59,9.87,144.79,-1.6,15.16,28.75,4.69,48.92,0.18
73,2023,22.62,21.63,16.37,10.15,108.8,-2.42,8.38,13.67,2.8,43.85,0.19
74,2024,21.04,21.73,15.3,9.59,141.59,-1.28,12.51,19.02,6.48,47.96,0.12
