,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,20.98,20.13,14.59,8.73,412.97,0.72,15.4,30.77,3.21,56.7,0.05
61,2011,19.39,20.11,13.65,7.92,385.19,-0.67,16.41,43.42,2.46,54.37,0.09
62,2012,19.68,20.11,13.3,7.33,313.53,0.45,10.77,26.52,0.47,53.56,0.06
63,2013,20.94,20.13,14.49,8.55,359.34,-0.99,8.15,19.67,1.42,53.88,0.1
64,2014,19.58,20.19,13.22,6.95,375.3,-0.56,16.66,31.78,2.36,53.38,0.12
65,2015,20.43,20.27,14.46,8.61,451.92,-0.19,16.36,33.15,4.06,55.98,0.12
66,2016,20.94,20.38,14.81,8.47,422.54,-0.12,18.33,40.09,3.46,54.87,0.12
67,2017,20.44,20.51,14.06,7.56,351.55,0.94,16.62,28.96,3.41,54.08,0.09
68,2018,20.25,20.63,14.06,7.38,353.57,0.25,20.36,45.24,4.79,54.98,0.12
69,2019,20.93,20.76,14.74,8.31,374.5,0.12,13.95,28.58,1.76,53.19,0.15
70,2020,20.23,20.88,13.7,7.34,346.47,-0.26,12.31,27.46,1.07,53.42,0.05
71,2021,21.47,21.0,14.76,8.09,275.09,-0.19,14.84,36.09,1.7,50.61,0.08
72,2022,20.88,21.11,15.09,9.44,462.93,-0.42,15.97,40.01,3.57,54.29,0.12
73,2023,22.19,21.22,15.59,9.45,273.15,-0.26,21.57,46.23,11.42,53.65,0.07
74,2024,20.68,21.33,14.72,8.69,427.02,-0.54,22.02,32.59,13.02,58.76,0.06
