,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,19.75,18.89,13.28,6.85,106.55,-0.91,8.14,14.02,1.27,52.33,0.26
61,2011,17.77,18.86,11.53,5.31,124.11,-2.28,7.98,11.31,3.82,52.13,0.23
62,2012,18.6,18.84,12.19,5.81,98.79,-1.62,15.62,20.27,6.29,50.32,0.23
63,2013,19.96,18.86,13.54,7.17,142.98,-1.87,12.03,18.3,5.34,52.6,0.09
64,2014,18.28,18.92,11.74,5.22,131.55,-1.57,7.48,11.61,1.07,51.21,0.24
65,2015,19.14,19.01,13.08,7.05,158.1,-0.81,17.35,24.09,10.56,54.83,0.25
66,2016,19.57,19.14,13.49,7.45,190.57,0.1,11.48,18.93,4.8,56.31,0.11
67,2017,19.28,19.28,12.86,6.47,123.11,-0.39,9.15,14.26,1.96,52.64,0.24
68,2018,18.73,19.44,12.25,5.81,101.75,-1.01,13.98,20.19,7.44,50.97,0.22
69,2019,19.76,19.6,13.34,6.95,116.27,-1.17,12.19,21.46,3.87,52.62,0.24
70,2020,19.55,19.76,13.02,6.52,86.37,-2.24,9.54,17.72,1.96,49.14,0.24
71,2021,20.32,19.92,13.58,6.87,76.31,-2.66,6.11,11.99,0.0,47.4,0.35
72,2022,19.71,20.07,13.43,7.19,105.87,-2.19,12.22,19.51,3.65,52.41,0.2
73,2023,21.29,20.23,14.45,7.65,106.4,-2.2,10.15,23.76,2.96,50.09,0.23
74,2024,19.67,20.39,13.28,6.93,134.83,-1.52,15.45,20.9,7.65,53.2,0.16
