,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Category,Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
56,2006,21.43,21.52,14.94,8.48,109.52,2006,-1.39,10.24,14.56,4.42,49.54,0.13
57,2007,21.67,21.5,15.08,8.53,102.53,2007,-1.02,8.6,17.86,0.0,49.26,0.11
58,2008,21.22,21.47,14.46,7.75,66.84,2008,-1.56,6.34,12.66,0.0,48.21,0.16
59,2009,21.22,21.43,14.88,8.58,96.32,2009,-1.16,15.31,18.89,5.47,50.76,0.08
60,2010,22.34,21.38,15.57,8.83,63.72,2010,-1.43,10.91,15.24,0.0,46.52,0.2
61,2011,20.66,21.34,14.25,7.87,98.41,2011,-1.7,21.38,24.68,19.34,48.89,0.18
62,2012,20.91,21.31,14.31,7.74,80.93,2012,-0.77,12.16,15.42,0.17,47.81,0.16
63,2013,22.11,21.31,15.57,9.08,127.7,2013,-1.25,10.82,16.36,0.09,49.75,0.1
64,2014,20.71,21.34,14.08,7.49,114.55,2014,-0.92,11.31,20.34,0.0,47.56,0.17
65,2015,21.5,21.41,15.3,9.15,131.29,2015,-0.98,11.81,29.31,0.0,50.21,0.23
66,2016,21.98,21.51,15.68,9.41,156.38,2016,-0.78,13.14,16.43,1.33,50.42,0.1
67,2017,21.59,21.63,15.04,8.53,109.09,2017,-0.55,7.5,11.32,0.0,47.42,0.17
68,2018,21.54,21.76,14.98,8.47,93.52,2018,-1.4,10.9,11.74,0.0,45.55,0.19
69,2019,22.05,21.9,15.6,9.18,102.56,2019,-0.94,9.33,16.12,0.0,48.0,0.22
70,2020,21.19,22.04,14.68,8.2,83.3,2020,-2.15,6.24,9.34,0.0,46.29,0.17
71,2021,22.73,22.18,15.86,9.01,64.85,2021,-1.9,13.23,13.65,0.0,45.22,0.26
72,2022,22.14,22.32,15.83,9.56,95.03,2022,-1.38,10.8,18.06,0.0,49.16,0.17
73,2023,23.49,22.46,16.63,9.82,80.54,2023,-2.12,5.23,8.5,0.0,44.7,0.17
74,2024,21.88,22.6,15.6,9.35,103.66,2024,-1.31,8.61,12.49,0.0,48.47,0.11
