,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,21.91,21.12,15.48,9.08,399.15,0.24,21.21,36.04,10.35,61.43,0.09
61,2011,20.73,21.13,14.5,8.31,447.78,-1.64,21.41,55.86,8.12,60.81,0.12
62,2012,20.54,21.16,14.19,7.88,440.19,-0.3,16.23,37.59,5.78,59.71,0.1
63,2013,21.76,21.21,15.36,9.0,464.91,-0.91,21.83,37.78,12.38,58.75,0.11
64,2014,20.79,21.29,14.12,7.47,444.87,-0.77,18.79,41.55,6.76,59.34,0.11
65,2015,21.56,21.39,15.3,9.07,490.83,-0.36,19.77,48.22,8.42,60.5,0.14
66,2016,22.16,21.5,15.71,9.32,466.41,-0.75,18.86,38.71,7.51,60.94,0.09
67,2017,21.42,21.62,14.93,8.49,362.48,-0.12,29.71,61.91,10.18,58.71,0.11
68,2018,21.58,21.73,15.06,8.58,371.85,-1.72,33.53,39.74,15.33,58.38,0.13
69,2019,22.11,21.84,15.61,9.15,495.92,0.0,26.9,53.32,12.45,60.12,0.15
70,2020,20.98,21.93,14.57,8.2,416.29,-0.38,25.98,61.86,15.43,60.09,0.09
71,2021,22.51,22.0,15.71,8.96,293.42,-1.78,28.93,56.87,16.83,54.76,0.2
72,2022,21.85,22.07,15.96,10.13,542.58,-1.21,24.21,64.49,12.89,60.87,0.13
73,2023,22.93,22.13,16.51,10.12,325.33,-1.47,21.87,45.95,13.24,56.94,0.18
74,2024,21.71,22.19,15.61,9.55,504.88,-0.95,21.96,38.43,12.65,60.7,0.14
