,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,22.19,21.37,15.6,9.06,283.21,0.1,21.19,37.37,8.05,54.31,0.07
61,2011,20.9,21.37,14.67,8.47,288.48,-1.61,14.78,36.57,2.42,54.29,0.12
62,2012,20.88,21.38,14.41,7.97,384.34,0.02,17.34,38.81,3.94,55.76,0.07
63,2013,21.91,21.41,15.46,9.05,346.5,-0.63,20.99,39.46,12.03,53.11,0.11
64,2014,20.94,21.45,14.33,7.75,342.82,-0.86,16.49,45.38,3.11,53.85,0.1
65,2015,21.67,21.5,15.39,9.14,365.89,0.08,25.77,48.5,15.34,54.68,0.14
66,2016,22.16,21.56,15.84,9.57,353.97,-0.82,15.42,42.45,4.81,53.18,0.1
67,2017,21.55,21.64,15.1,8.7,293.02,-0.3,31.2,68.15,12.56,51.76,0.11
68,2018,21.63,21.72,15.32,9.05,261.77,-1.92,17.47,36.13,3.76,50.65,0.16
69,2019,21.88,21.81,15.72,9.61,423.28,0.84,32.87,54.09,16.34,54.95,0.15
70,2020,20.82,21.91,14.65,8.52,364.4,0.16,19.54,48.64,4.35,54.56,0.07
71,2021,22.61,22.02,15.89,9.22,224.11,-1.61,24.93,48.27,15.74,46.96,0.19
72,2022,22.16,22.13,16.15,10.18,391.59,-1.49,19.24,42.01,8.41,53.41,0.18
73,2023,23.13,22.24,16.69,10.29,257.3,-1.9,15.6,36.12,4.67,47.52,0.26
74,2024,21.66,22.35,15.74,9.86,390.4,-0.83,25.31,39.77,14.69,52.21,0.2
