,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,17.66,16.98,11.8,5.97,548.22,0.95,19.8,47.4,9.17,58.92,0.04
61,2011,16.61,17.0,10.85,5.13,506.42,-0.64,22.29,61.49,8.45,56.25,0.11
62,2012,16.48,17.05,10.49,4.52,395.53,0.46,16.6,45.2,5.92,55.41,0.07
63,2013,17.68,17.14,11.72,5.8,450.94,-0.66,16.08,30.52,8.1,55.2,0.1
64,2014,16.66,17.28,10.41,4.19,485.03,-0.42,18.18,40.43,6.36,53.55,0.12
65,2015,17.54,17.44,11.68,5.85,587.38,-0.21,21.77,40.06,8.05,57.9,0.12
66,2016,18.38,17.63,12.03,5.72,595.71,0.29,20.27,47.27,9.51,56.5,0.1
67,2017,17.8,17.81,11.27,4.78,493.34,0.96,23.1,46.44,10.65,55.06,0.1
68,2018,17.93,17.97,11.27,4.64,463.57,0.03,17.63,52.38,10.53,56.07,0.11
69,2019,18.32,18.1,11.96,5.62,452.01,0.23,19.7,46.89,8.79,55.57,0.13
70,2020,17.21,18.18,10.93,4.67,445.51,-0.37,17.66,45.35,6.52,54.71,0.05
71,2021,18.54,18.23,12.0,5.49,360.54,-0.37,20.3,44.81,12.88,50.89,0.09
72,2022,18.0,18.24,12.3,6.63,596.95,-0.5,25.33,62.76,7.01,53.81,0.17
73,2023,18.99,18.24,12.79,6.63,377.9,-0.57,21.58,54.86,15.49,52.27,0.15
74,2024,17.89,18.23,11.93,6.01,552.88,-0.49,35.84,66.35,17.52,57.74,0.1
