,Category,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
60,2010,22.95,22.19,16.67,10.47,507.0,0.86,25.72,53.65,18.59,62.35,0.07
61,2011,21.77,22.19,15.7,9.67,546.1,-1.24,22.08,58.2,11.58,59.8,0.12
62,2012,21.57,22.22,15.35,9.17,460.0,-0.07,23.92,43.37,12.4,59.6,0.09
63,2013,22.82,22.27,16.57,10.36,539.6,-0.67,28.17,34.65,5.74,57.16,0.12
64,2014,21.82,22.34,15.29,8.8,537.7,-0.52,26.49,71.62,12.1,57.92,0.12
65,2015,22.61,22.43,16.53,10.5,603.7,-0.41,29.26,49.24,17.48,59.53,0.17
66,2016,23.21,22.53,16.92,10.68,600.2,-0.27,22.56,71.27,17.85,59.09,0.14
67,2017,22.57,22.64,16.14,9.73,474.6,0.5,30.48,69.66,26.54,57.53,0.12
68,2018,22.58,22.75,16.2,9.87,488.0,-1.32,29.5,40.85,16.03,54.28,0.21
69,2019,23.05,22.86,16.85,10.7,519.6,-0.07,26.12,67.6,25.07,58.08,0.16
70,2020,22.02,22.95,15.8,9.65,443.2,-0.17,34.34,63.84,24.32,57.95,0.04
71,2021,23.47,23.03,16.91,10.39,389.5,-1.54,25.07,50.71,6.21,52.71,0.23
72,2022,22.9,23.11,17.14,11.41,659.8,-0.42,30.67,92.35,27.28,59.5,0.13
73,2023,24.0,23.18,17.7,11.43,378.9,-0.42,29.48,48.31,19.39,57.53,0.15
74,2024,22.78,23.25,16.84,10.93,581.5,0.04,26.29,54.02,25.91,63.0,0.07
