Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1974,18.75,12.52,6.33,263.52,-0.95,13.19,23.34,2.18,52.88,0.09,Andijon,,,,
1975,19.9,13.51,7.15,199.45,-1.18,12.41,30.87,1.53,48.56,0.13,Andijon,,,,
1976,18.97,13.0,7.07,302.25,-0.36,15.27,31.27,2.88,57.08,0.08,Andijon,,,,
1977,20.02,13.81,7.64,398.89,-0.44,38.93,86.67,19.18,55.48,0.09,Andijon,,,,
1978,19.67,13.53,7.43,286.46,0.4,17.18,29.94,2.76,55.92,0.09,Andijon,,,,
1979,19.95,13.77,7.62,285.87,0.41,28.11,65.79,21.26,53.82,0.11,Andijon,,,,
1980,20.09,13.91,7.76,280.26,0.05,18.17,27.41,4.95,55.14,0.07,Andijon,,,,
1981,20.07,13.98,7.94,333.14,0.31,18.74,35.29,4.16,56.47,0.04,Andijon,,,,
1982,19.28,13.19,7.14,255.54,-0.68,21.46,36.66,8.28,51.09,0.1,Andijon,,,,
1983,20.77,14.33,7.92,253.66,-0.09,21.04,37.29,7.51,52.58,0.12,Andijon,,,,
1984,18.85,12.72,6.62,346.37,-0.21,14.62,43.37,3.69,54.19,0.15,Andijon,,,,
1985,19.71,13.44,7.19,285.26,0.34,18.46,32.94,5.01,54.86,0.07,Andijon,,,,
1986,19.98,13.8,7.66,246.65,-0.98,13.31,28.33,4.0,52.08,0.09,Andijon,,,,
1987,19.7,13.75,7.84,481.97,0.64,26.29,70.56,15.84,59.47,0.06,Andijon,,,,
1988,20.62,14.35,8.13,334.96,1.34,17.71,40.38,7.4,56.23,0.1,Andijon,,,,
1989,19.63,13.31,7.02,235.61,-0.68,18.19,34.96,4.04,52.65,0.07,Andijon,,,,
1990,20.35,14.17,8.03,327.32,0.36,18.54,40.67,5.6,57.06,0.11,Andijon,,,,
1991,19.82,13.71,7.64,336.84,0.17,17.91,52.42,5.9,56.59,0.06,Andijon,,,,
1992,19.56,13.62,7.72,289.65,0.78,14.42,39.28,2.65,57.89,0.03,Andijon,,,,
1993,18.59,12.79,7.02,466.68,1.04,23.65,56.26,15.17,60.57,0.03,Andijon,,,,
1994,19.54,13.44,7.37,308.6,1.14,18.91,35.68,7.42,56.86,0.08,Andijon,,,,
1995,20.76,14.28,7.84,185.98,0.03,16.74,31.7,5.87,53.4,0.09,Andijon,,,,
1996,19.3,13.13,6.98,289.99,0.38,20.61,36.17,7.49,56.76,0.09,Andijon,,,,
1997,20.88,14.48,8.1,239.54,-0.74,13.32,23.39,2.49,52.98,0.16,Andijon,,,,
1998,20.0,14.01,8.06,489.82,0.85,20.89,51.25,11.46,59.96,0.06,Andijon,,,,
1999,20.73,14.61,8.52,353.1,1.07,16.1,39.18,2.72,57.01,0.05,Andijon,,,,
2000,20.63,14.46,8.33,286.09,-0.43,25.42,40.59,9.85,53.97,0.09,Andijon,,,,
2001,21.13,14.78,8.47,261.3,-0.31,16.62,32.49,4.52,55.11,0.08,Andijon,,,,
2002,20.75,14.58,8.46,392.86,0.58,17.07,35.78,3.19,57.13,0.1,Andijon,,,,
2003,19.82,14.03,8.28,426.46,1.16,21.09,60.3,14.29,59.05,0.08,Andijon,,,,
2004,20.99,15.08,9.2,352.47,0.5,16.55,46.74,4.22,56.58,0.1,Andijon,,,,
2005,20.69,14.68,8.73,292.06,0.4,26.51,42.9,11.81,55.77,0.1,Andijon,,,,
2006,20.78,14.7,8.64,294.66,-0.03,18.49,48.66,3.62,56.66,0.1,Andijon,,,,
2007,20.86,14.69,8.58,295.85,-0.85,19.32,58.65,5.59,54.04,0.09,Andijon,,,,
2008,20.25,14.23,8.24,252.85,-1.31,15.43,28.8,2.28,53.0,0.18,Andijon,,,,
