Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1933,18.6,12.41,6.25,324.31,,,,,,,Fargona,,,,
1934,17.1,11.24,5.42,394.56,,,,,,,Fargona,,,,
1935,18.0,11.91,5.85,436.08,,,,,,,Fargona,,,,
1936,19.2,12.47,5.78,290.22,,,,,,,Fargona,,,,
1937,18.34,11.71,5.1,362.7,,,,,,,Fargona,,,,
1938,19.41,12.8,6.23,293.26,,,,,,,Fargona,,,,
1939,19.73,13.17,6.64,241.07,,,,,,,Fargona,,,,
1940,20.06,13.55,7.08,282.67,,,,,,,Fargona,,,,
1941,20.73,14.08,7.46,385.31,,,,,,,Fargona,,,,
1942,19.1,12.83,6.59,421.44,,,,,,,Fargona,,,,
1943,18.3,11.99,5.72,424.96,,,,,,,Fargona,,,,
1944,19.85,13.27,6.73,255.23,,,,,,,Fargona,,,,
1945,18.38,12.01,5.67,425.82,,,,,,,Fargona,,,,
1946,19.12,12.55,6.0,278.11,,,,,,,Fargona,,,,
1947,19.89,13.21,6.57,314.77,,,,,,,Fargona,,,,
1948,19.1,12.52,5.97,320.69,,,,,,,Fargona,,,,
1949,17.25,11.2,5.18,393.47,,,,,,,Fargona,,,,
1950,17.99,11.45,4.94,267.77,,15.84,27.46,3.48,47.72,0.05,Fargona,,,,
1951,18.25,12.06,5.9,422.66,0.07,14.02,34.38,0.84,54.69,0.04,Fargona,,,,
1952,18.59,12.44,6.32,360.58,0.46,17.23,41.61,3.07,51.2,0.05,Fargona,,,,
1953,18.59,12.59,6.62,587.36,0.11,19.03,34.91,6.28,53.24,0.05,Fargona,,,,
1954,17.74,11.51,5.31,391.87,1.59,11.84,29.64,1.04,54.73,0.01,Fargona,,,,
1955,20.07,13.39,6.74,318.24,-0.05,18.97,32.65,7.08,47.16,0.1,Fargona,,,,
1956,19.05,12.51,6.01,318.93,-0.07,15.99,30.62,2.22,49.14,0.14,Fargona,,,,
1957,17.66,11.43,5.23,324.91,0.14,10.21,24.81,0.91,54.16,0.02,Fargona,,,,
1958,19.04,12.87,6.72,480.16,0.85,24.63,47.97,9.07,52.74,0.09,Fargona,,,,
1959,18.34,12.26,6.21,355.25,0.64,21.45,42.5,8.32,51.67,0.05,Fargona,,,,
1960,18.26,12.05,5.89,389.4,0.14,11.38,32.58,2.07,50.83,0.08,Fargona,,,,
1961,19.65,13.21,6.79,214.42,-1.01,13.32,21.2,0.42,45.18,0.11,Fargona,,,,
1962,19.04,12.81,6.61,284.52,-1.66,12.56,27.61,1.49,46.44,0.09,Fargona,,,,
1963,19.94,13.55,7.21,422.11,0.25,16.54,32.76,3.29,49.56,0.06,Fargona,,,,
1964,17.87,11.66,5.49,333.55,1.17,17.46,29.83,2.44,50.24,0.03,Fargona,,,,
1965,19.36,13.12,6.91,303.96,-0.34,16.8,34.3,4.5,47.75,0.08,Fargona,,,,
1966,19.58,13.31,7.09,423.47,0.08,21.74,39.01,10.12,50.2,0.09,Fargona,,,,
1967,18.68,12.72,6.79,318.76,-1.1,14.54,30.07,1.4,48.82,0.09,Fargona,,,,
1968,18.74,12.74,6.77,339.72,-0.29,15.01,38.22,2.25,50.0,0.12,Fargona,,,,
1969,16.96,11.23,5.54,691.79,2.06,18.16,52.46,5.11,60.41,0.06,Fargona,,,,
1970,19.45,13.14,6.87,320.17,0.39,14.24,27.99,1.58,50.04,0.09,Fargona,,,,
1971,19.99,13.46,6.97,203.0,-1.19,10.28,22.37,0.65,47.55,0.08,Fargona,,,,
1972,16.75,10.84,4.96,446.18,-0.01,16.1,33.57,3.72,52.55,0.02,Fargona,,,,
1973,19.18,12.91,6.68,300.47,0.31,18.31,44.07,6.78,48.55,0.12,Fargona,,,,
1974,18.0,11.99,6.0,328.72,-1.11,10.2,19.1,0.94,49.58,0.08,Fargona,,,,
1975,19.08,12.9,6.77,225.96,-1.09,10.42,29.95,1.12,46.55,0.12,Fargona,,,,
1976,18.18,12.41,6.68,359.93,-0.34,16.08,36.01,2.81,53.57,0.1,Fargona,,,,
1977,19.24,13.29,7.39,498.69,-0.47,27.88,65.07,12.66,52.97,0.11,Fargona,,,,
1978,18.86,12.96,7.08,353.79,0.5,13.04,25.38,1.06,52.29,0.11,Fargona,,,,
1979,19.17,13.23,7.32,362.25,0.24,21.24,52.78,11.01,51.11,0.12,Fargona,,,,
1980,19.27,13.3,7.36,362.95,-0.07,16.18,27.62,4.82,52.36,0.09,Fargona,,,,
1981,19.32,13.48,7.67,419.92,0.51,17.77,31.28,4.06,55.15,0.04,Fargona,,,,
1982,18.46,12.62,6.82,311.22,-0.33,16.55,34.2,3.26,49.56,0.08,Fargona,,,,
1983,19.93,13.73,7.57,302.3,-0.52,14.01,27.56,2.26,48.14,0.13,Fargona,,,,
1984,18.07,12.19,6.33,414.05,-0.48,14.85,30.16,2.55,51.28,0.17,Fargona,,,,
1985,18.95,12.92,6.92,356.35,-0.06,12.45,22.27,1.82,49.84,0.09,Fargona,,,,
1986,19.2,13.23,7.29,301.11,-1.32,12.01,22.93,1.76,48.73,0.08,Fargona,,,,
1987,18.92,13.17,7.44,556.71,0.71,19.69,44.21,6.34,56.28,0.07,Fargona,,,,
1988,19.85,13.79,7.77,410.88,1.2,13.03,31.74,2.75,53.06,0.14,Fargona,,,,
1989,18.97,12.82,6.71,279.98,-0.88,11.48,31.25,2.24,48.74,0.07,Fargona,,,,
1990,19.52,13.56,7.63,399.38,0.28,17.0,38.11,2.53,53.23,0.14,Fargona,,,,
1991,18.93,13.1,7.31,423.38,-0.15,15.47,43.59,3.04,52.95,0.07,Fargona,,,,
1992,18.7,12.98,7.31,337.95,0.75,11.36,29.56,1.21,54.27,0.04,Fargona,,,,
1993,17.75,12.16,6.61,570.51,0.88,20.19,47.6,8.0,57.21,0.05,Fargona,,,,
1994,18.81,12.9,7.03,360.95,0.98,21.11,36.24,7.55,53.89,0.09,Fargona,,,,
1995,20.08,13.76,7.46,209.45,0.05,19.39,29.64,4.92,50.92,0.08,Fargona,,,,
1996,18.63,12.58,6.58,363.87,0.33,21.33,36.54,9.42,54.25,0.08,Fargona,,,,
1997,20.03,13.88,7.76,291.52,-0.76,11.51,22.92,0.3,52.2,0.14,Fargona,,,,
1998,19.23,13.42,7.64,612.54,0.73,23.93,45.15,7.48,56.69,0.09,Fargona,,,,
1999,19.96,14.06,8.2,439.32,1.09,13.71,34.06,2.05,54.41,0.05,Fargona,,,,
2000,19.87,13.9,7.97,321.94,-0.48,16.9,33.58,2.35,52.53,0.06,Fargona,,,,
2001,20.35,14.18,8.07,311.21,-0.31,16.41,39.2,2.02,52.87,0.08,Fargona,,,,
2002,20.02,14.03,8.08,484.92,0.64,13.09,29.82,2.87,55.49,0.1,Fargona,,,,
2003,18.99,13.42,7.88,518.66,0.88,17.53,41.8,4.48,57.41,0.1,Fargona,,,,
2004,20.23,14.48,8.78,429.77,0.79,15.43,43.02,3.76,55.3,0.11,Fargona,,,,
2005,19.94,14.1,8.3,347.74,0.44,12.9,37.06,2.77,53.4,0.12,Fargona,,,,
2006,19.97,14.08,8.23,365.45,-0.22,14.86,38.35,0.72,55.16,0.08,Fargona,,,,
2007,20.08,14.12,8.18,363.81,-0.68,15.85,49.62,4.01,54.48,0.08,Fargona,,,,
2008,19.41,13.57,7.74,295.92,-0.99,16.06,23.86,1.65,53.48,0.12,Fargona,,,,
2009,19.79,14.0,8.26,400.89,-0.05,13.22,24.71,1.82,53.99,0.08,Fargona,,,,
2010,20.49,14.59,8.73,412.97,0.72,15.4,30.77,3.21,56.7,0.05,Fargona,,,,
2011,19.41,13.65,7.92,385.19,-0.67,16.41,43.42,2.46,54.37,0.09,Fargona,,,,
2012,19.3,13.3,7.33,313.53,0.45,10.77,26.52,0.47,53.56,0.06,Fargona,,,,
2013,20.48,14.49,8.55,359.34,-0.99,8.15,19.67,1.42,53.88,0.1,Fargona,,,,
2014,19.52,13.22,6.95,375.3,-0.56,16.66,31.78,2.36,53.38,0.12,Fargona,,,,
2015,20.34,14.46,8.61,451.92,-0.19,16.36,33.15,4.06,55.98,0.12,Fargona,,,,
2016,21.18,14.81,8.47,422.54,-0.12,18.33,40.09,3.46,54.87,0.12,Fargona,,,,
2017,20.6,14.06,7.56,351.55,0.94,16.62,28.96,3.41,54.08,0.09,Fargona,,,,
2018,20.76,14.06,7.38,353.57,0.25,20.36,45.24,4.79,54.98,0.12,Fargona,,,,
2019,21.19,14.74,8.31,374.5,0.12,13.95,28.58,1.76,53.19,0.15,Fargona,,,,
2020,20.1,13.7,7.34,346.47,-0.26,12.31,27.46,1.07,53.42,0.05,Fargona,,,,
2021,21.47,14.76,8.09,275.09,-0.19,14.84,36.09,1.7,50.61,0.08,Fargona,,,,
2022,20.79,15.09,9.44,462.93,-0.42,15.97,40.01,3.57,54.29,0.12,Fargona,,,,
2023,21.78,15.59,9.45,273.15,-0.26,21.57,46.23,11.42,53.65,0.07,Fargona,,,,
2024,20.8,14.72,8.69,427.02,-0.54,22.02,32.59,13.02,58.76,0.06,Fargona,,,,
1901,20.64,13.68,6.76,367.34,,,,,,,Jizzax,,,,
1902,20.94,14.22,7.55,464.21,,,,,,,Jizzax,,,,
1903,19.27,12.65,6.06,412.57,,,,,,,Jizzax,,,,
1904,19.88,13.15,6.45,384.61,,,,,,,Jizzax,,,,
1905,19.42,12.94,6.5,324.62,,,,,,,Jizzax,,,,
1906,20.26,13.6,6.99,414.66,,,,,,,Jizzax,,,,
1907,19.21,12.76,6.35,471.25,,,,,,,Jizzax,,,,
1908,20.25,13.54,6.87,490.17,,,,,,,Jizzax,,,,
1909,21.73,14.37,7.04,300.33,,,,,,,Jizzax,,,,
1910,20.5,13.66,6.87,357.08,,,,,,,Jizzax,,,,
1911,19.92,12.98,6.07,475.49,,,,,,,Jizzax,,,,
1912,20.61,13.78,6.98,354.72,,,,,,,Jizzax,,,,
1913,20.11,13.84,7.61,410.21,,,,,,,Jizzax,,,,
1914,21.0,14.61,8.28,414.52,,,,,,,Jizzax,,,,
1915,21.75,15.24,8.79,275.02,,,,,,,Jizzax,,,,
1916,19.58,12.98,6.42,308.57,,,,,,,Jizzax,,,,
1917,21.2,14.42,7.69,110.73,,,,,,,Jizzax,,,,
1918,19.56,12.7,5.87,334.73,,,,,,,Jizzax,,,,
1919,20.01,12.8,5.62,362.02,,,,,,,Jizzax,,,,
1920,17.87,11.86,5.89,472.04,,,,,,,Jizzax,,,,
1921,19.31,12.94,6.62,451.89,,,,,,,Jizzax,,,,
1922,20.78,14.09,7.43,382.17,,,,,,,Jizzax,,,,
1923,19.37,12.73,6.13,476.21,,,,,,,Jizzax,,,,
1924,19.95,13.17,6.42,456.91,,,,,,,Jizzax,,,,
1925,21.36,14.04,6.75,274.23,,,,,,,Jizzax,,,,
1926,20.35,13.81,7.31,372.91,,,,,,,Jizzax,,,,
1927,20.25,13.72,7.21,258.98,,,,,,,Jizzax,,,,
1928,18.87,12.64,6.45,390.75,,,,,,,Jizzax,,,,
1929,18.88,12.38,5.89,342.94,,,,,,,Jizzax,,,,
1930,18.87,12.61,6.38,354.31,,,,,,,Jizzax,,,,
1931,18.54,12.58,6.67,474.27,,,,,,,Jizzax,,,,
1932,18.99,12.82,6.68,410.04,,,,,,,Jizzax,,,,
1933,19.57,13.2,6.88,443.96,,,,,,,Jizzax,,,,
1934,18.26,12.11,5.99,469.17,,,,,,,Jizzax,,,,
1935,19.33,12.83,6.35,360.38,,,,,,,Jizzax,,,,
1936,20.52,13.44,6.4,291.2,,,,,,,Jizzax,,,,
1937,19.59,12.65,5.74,329.5,,,,,,,Jizzax,,,,
1938,20.57,13.69,6.85,348.44,,,,,,,Jizzax,,,,
1939,20.96,14.06,7.2,319.28,,,,,,,Jizzax,,,,
1940,21.4,14.48,7.6,350.3,,,,,,,Jizzax,,,,
1941,22.04,15.0,8.0,427.92,,,,,,,Jizzax,,,,
1942,20.62,13.85,7.12,468.01,,,,,,,Jizzax,,,,
1943,19.54,12.89,6.29,465.44,,,,,,,Jizzax,,,,
1944,21.23,14.23,7.28,234.3,,,,,,,Jizzax,,,,
1945,19.72,12.99,6.29,436.39,,,,,,,Jizzax,,,,
1946,20.54,13.47,6.45,272.48,,,,,,,Jizzax,,,,
1947,21.28,14.21,7.18,362.5,,,,,,,Jizzax,,,,
1948,20.43,13.49,6.58,326.21,,,,,,,Jizzax,,,,
1949,18.57,12.11,5.69,432.67,,,,,,,Jizzax,,,,
1950,19.35,12.35,5.38,246.26,,18.55,46.19,5.34,56.28,0.05,Jizzax,,,,
1951,19.61,13.04,6.51,406.96,-0.12,26.11,52.03,15.44,62.39,0.04,Jizzax,,,,
1952,19.92,13.37,6.84,476.77,0.87,19.14,43.52,9.22,60.79,0.06,Jizzax,,,,
1953,19.8,13.51,7.25,595.94,0.95,43.21,69.8,21.47,62.14,0.05,Jizzax,,,,
1954,19.05,12.51,6.01,378.6,1.7,21.67,57.58,15.75,61.55,0.03,Jizzax,,,,
1955,21.55,14.4,7.3,395.41,-0.12,32.2,49.8,20.24,56.28,0.12,Jizzax,,,,
1956,20.22,13.42,6.66,374.71,0.15,25.93,52.41,17.95,57.31,0.08,Jizzax,,,,
1957,18.8,12.35,5.93,396.86,-0.39,24.26,41.98,8.11,60.85,0.04,Jizzax,,,,
1958,20.35,13.85,7.39,487.65,0.53,23.36,50.58,11.62,58.84,0.09,Jizzax,,,,
1959,19.56,13.14,6.76,390.01,0.43,19.71,47.64,11.75,62.08,0.02,Jizzax,,,,
1960,19.48,13.0,6.55,440.93,0.39,19.78,36.9,11.72,62.95,0.05,Jizzax,,,,
1961,21.01,14.14,7.3,370.75,-0.43,27.52,49.61,20.03,56.52,0.07,Jizzax,,,,
1962,20.29,13.66,7.07,390.61,-0.74,19.51,43.82,11.83,59.56,0.08,Jizzax,,,,
1963,21.18,14.43,7.74,448.23,0.17,25.89,49.42,10.76,61.07,0.05,Jizzax,,,,
1964,19.14,12.57,6.03,439.27,1.38,33.7,59.82,19.13,61.11,0.03,Jizzax,,,,
1965,20.58,14.0,7.47,381.7,0.12,38.11,50.05,22.2,60.39,0.05,Jizzax,,,,
1966,20.91,14.32,7.78,352.67,-0.66,24.2,43.9,9.83,59.36,0.08,Jizzax,,,,
1967,20.04,13.66,7.34,410.12,-0.29,27.83,47.68,14.17,61.9,0.05,Jizzax,,,,
1968,20.02,13.72,7.44,460.73,0.47,21.36,40.78,8.36,62.17,0.07,Jizzax,,,,
1969,18.15,12.15,6.19,767.72,2.3,37.29,83.76,25.49,67.17,0.03,Jizzax,,,,
1970,20.79,14.09,7.42,374.85,0.73,23.14,45.55,13.56,61.06,0.04,Jizzax,,,,
1971,21.28,14.4,7.57,254.46,-1.06,21.61,44.41,10.07,57.81,0.05,Jizzax,,,,
1972,17.92,11.72,5.54,478.85,-0.15,17.75,37.67,6.24,62.8,0.01,Jizzax,,,,
1973,20.37,13.81,7.28,356.25,0.46,26.24,54.16,17.75,60.63,0.06,Jizzax,,,,
1974,19.24,12.9,6.6,322.75,-0.43,27.49,48.33,12.24,60.14,0.06,Jizzax,,,,
1975,20.3,13.78,7.3,318.18,-1.31,23.53,39.63,14.25,56.37,0.1,Jizzax,,,,
1976,19.47,13.3,7.17,435.04,-0.35,23.17,45.61,10.29,62.42,0.06,Jizzax,,,,
1977,20.37,14.19,8.05,457.16,-0.71,32.98,70.89,11.72,61.91,0.09,Jizzax,,,,
1978,20.11,13.86,7.65,441.11,0.7,23.92,37.72,10.84,63.43,0.04,Jizzax,,,,
1979,20.46,14.17,7.93,454.68,0.93,27.15,52.66,17.14,63.03,0.07,Jizzax,,,,
1980,20.5,14.18,7.9,375.74,-0.15,18.84,35.94,8.16,62.92,0.07,Jizzax,,,,
1981,20.62,14.44,8.32,473.08,0.51,17.45,37.72,8.78,63.56,0.04,Jizzax,,,,
1982,19.58,13.42,7.3,401.45,-0.23,17.56,36.74,6.69,61.87,0.04,Jizzax,,,,
1983,21.17,14.65,8.18,337.87,-0.51,18.91,35.88,8.94,59.41,0.1,Jizzax,,,,
1984,19.27,13.08,6.93,413.39,-0.22,22.41,38.74,12.95,62.22,0.09,Jizzax,,,,
1985,20.23,13.86,7.53,352.57,0.29,18.93,39.5,8.78,61.45,0.06,Jizzax,,,,
1986,20.5,14.13,7.81,287.7,-0.84,18.14,34.17,9.03,60.27,0.04,Jizzax,,,,
1987,20.3,14.12,7.99,540.35,0.71,26.35,66.53,18.0,64.25,0.05,Jizzax,,,,
1988,21.17,14.73,8.33,371.44,0.65,19.09,43.41,7.62,62.66,0.08,Jizzax,,,,
1989,20.35,13.77,7.24,325.94,-0.52,23.97,56.66,11.23,60.23,0.06,Jizzax,,,,
1990,20.78,14.44,8.13,429.72,0.16,17.38,39.64,4.71,63.08,0.07,Jizzax,,,,
1991,20.1,14.01,7.97,514.76,0.38,21.65,60.89,10.36,64.05,0.04,Jizzax,,,,
1992,19.81,13.77,7.79,506.59,0.98,19.52,40.86,7.47,64.45,0.03,Jizzax,,,,
1993,19.02,13.09,7.19,666.91,1.17,33.57,64.36,13.47,65.75,0.04,Jizzax,,,,
1994,20.08,13.8,7.57,432.54,0.61,21.83,48.99,14.41,63.04,0.06,Jizzax,,,,
1995,21.62,14.88,8.18,300.36,-0.46,19.05,33.46,6.19,60.67,0.08,Jizzax,,,,
1996,20.09,13.59,7.12,313.75,-0.59,22.92,48.84,10.8,61.23,0.06,Jizzax,,,,
1997,21.33,14.79,8.28,472.99,-0.2,20.07,38.54,12.84,63.21,0.11,Jizzax,,,,
1998,20.58,14.34,8.13,617.69,1.01,29.58,66.37,16.1,65.07,0.08,Jizzax,,,,
1999,21.31,15.0,8.74,473.32,0.05,22.16,35.76,12.47,61.55,0.07,Jizzax,,,,
2000,21.37,14.93,8.53,345.16,-1.22,20.2,30.59,8.92,60.64,0.07,Jizzax,,,,
2001,21.58,15.07,8.6,328.79,-1.63,19.43,29.72,7.42,59.89,0.08,Jizzax,,,,
2002,21.38,14.93,8.53,542.82,0.68,30.25,61.34,20.37,64.72,0.09,Jizzax,,,,
2003,20.26,14.29,8.37,564.58,1.03,20.91,54.1,11.44,65.54,0.06,Jizzax,,,,
2004,21.57,15.38,9.23,489.98,0.39,25.2,62.31,16.94,62.71,0.08,Jizzax,,,,
2005,21.26,14.96,8.7,431.47,0.26,21.6,51.34,8.97,60.86,0.11,Jizzax,,,,
2006,21.18,14.91,8.69,410.77,-1.38,20.8,37.35,10.95,60.66,0.08,Jizzax,,,,
2007,21.39,14.97,8.6,413.92,-0.9,20.37,61.67,9.57,61.18,0.08,Jizzax,,,,
2008,20.8,14.39,8.03,370.7,-1.45,19.08,35.35,8.92,61.14,0.12,Jizzax,,,,
2009,21.03,14.85,8.71,539.4,0.25,21.82,42.06,13.97,62.78,0.05,Jizzax,,,,
2010,21.91,15.48,9.08,399.15,0.24,21.21,36.04,10.35,61.43,0.09,Jizzax,,,,
2011,20.73,14.5,8.31,447.78,-1.64,21.41,55.86,8.12,60.81,0.12,Jizzax,,,,
2012,20.54,14.19,7.88,440.19,-0.3,16.23,37.59,5.78,59.71,0.1,Jizzax,,,,
2013,21.76,15.36,9.0,464.91,-0.91,21.83,37.78,12.38,58.75,0.11,Jizzax,,,,
2014,20.79,14.12,7.47,444.87,-0.77,18.79,41.55,6.76,59.34,0.11,Jizzax,,,,
2015,21.56,15.3,9.07,490.83,-0.36,19.77,48.22,8.42,60.5,0.14,Jizzax,,,,
2016,22.16,15.71,9.32,466.41,-0.75,18.86,38.71,7.51,60.94,0.09,Jizzax,,,,
2017,21.42,14.93,8.49,362.48,-0.12,29.71,61.91,10.18,58.71,0.11,Jizzax,,,,
2018,21.58,15.06,8.58,371.85,-1.72,33.53,39.74,15.33,58.38,0.13,Jizzax,,,,
2019,22.11,15.61,9.15,495.92,0.0,26.9,53.32,12.45,60.12,0.15,Jizzax,,,,
2020,20.98,14.57,8.2,416.29,-0.38,25.98,61.86,15.43,60.09,0.09,Jizzax,,,,
2021,22.51,15.71,8.96,293.42,-1.78,28.93,56.87,16.83,54.76,0.2,Jizzax,,,,
2022,21.85,15.96,10.13,542.58,-1.21,24.21,64.49,12.89,60.87,0.13,Jizzax,,,,
2023,22.93,16.51,10.12,325.33,-1.47,21.87,45.95,13.24,56.94,0.18,Jizzax,,,,
2024,21.71,15.61,9.55,504.88,-0.95,21.96,38.43,12.65,60.7,0.14,Jizzax,,,,
1901,16.24,9.65,3.08,571.77,,,,,,,Namangan,,,,
1902,17.08,10.49,3.94,706.77,,,,,,,Namangan,,,,
1903,15.31,8.87,2.44,463.13,,,,,,,Namangan,,,,
1904,16.29,9.48,2.69,435.0,,,,,,,Namangan,,,,
1905,15.64,9.19,2.75,431.69,,,,,,,Namangan,,,,
1906,16.39,9.92,3.49,427.58,,,,,,,Namangan,,,,
1907,15.29,9.05,2.83,545.0,,,,,,,Namangan,,,,
1908,16.43,9.76,3.12,522.71,,,,,,,Namangan,,,,
1909,17.57,10.57,3.6,329.42,,,,,,,Namangan,,,,
1910,16.4,9.93,3.49,489.35,,,,,,,Namangan,,,,
1911,15.84,9.26,2.71,509.62,,,,,,,Namangan,,,,
1912,17.22,10.15,3.11,446.1,,,,,,,Namangan,,,,
1913,16.51,10.17,3.85,418.09,,,,,,,Namangan,,,,
1914,17.09,10.97,4.88,489.81,,,,,,,Namangan,,,,
1915,17.82,11.62,5.45,358.89,,,,,,,Namangan,,,,
1916,15.87,9.37,2.9,303.74,,,,,,,Namangan,,,,
1917,17.28,10.77,4.29,149.22,,,,,,,Namangan,,,,
1918,16.01,9.13,2.28,396.97,,,,,,,Namangan,,,,
1919,16.2,9.17,2.17,340.54,,,,,,,Namangan,,,,
1920,13.9,8.15,2.42,560.54,,,,,,,Namangan,,,,
1921,15.36,9.18,3.02,631.25,,,,,,,Namangan,,,,
1922,16.98,10.4,3.85,461.11,,,,,,,Namangan,,,,
1923,15.72,9.16,2.6,517.46,,,,,,,Namangan,,,,
1924,16.15,9.59,3.04,488.47,,,,,,,Namangan,,,,
1925,17.47,10.38,3.32,315.14,,,,,,,Namangan,,,,
1926,16.61,10.16,3.74,365.54,,,,,,,Namangan,,,,
1927,16.44,10.03,3.63,272.51,,,,,,,Namangan,,,,
1928,14.97,8.99,3.02,595.11,,,,,,,Namangan,,,,
1929,14.99,8.67,2.37,414.25,,,,,,,Namangan,,,,
1930,14.95,8.88,2.85,392.24,,,,,,,Namangan,,,,
1931,14.73,8.95,3.19,519.83,,,,,,,Namangan,,,,
1932,15.2,9.19,3.21,484.16,,,,,,,Namangan,,,,
1933,15.79,9.57,3.37,465.33,,,,,,,Namangan,,,,
1934,14.26,8.41,2.58,535.99,,,,,,,Namangan,,,,
1935,15.17,9.05,2.95,537.77,,,,,,,Namangan,,,,
1936,16.3,9.61,2.97,367.35,,,,,,,Namangan,,,,
1937,15.46,8.88,2.33,441.6,,,,,,,Namangan,,,,
1938,16.56,9.98,3.42,353.24,,,,,,,Namangan,,,,
1939,16.89,10.35,3.84,334.46,,,,,,,Namangan,,,,
1940,17.23,10.71,4.22,398.0,,,,,,,Namangan,,,,
1941,17.91,11.25,4.63,507.66,,,,,,,Namangan,,,,
1942,16.28,10.0,3.74,547.13,,,,,,,Namangan,,,,
1943,15.5,9.15,2.84,549.69,,,,,,,Namangan,,,,
1944,17.04,10.47,3.93,292.08,,,,,,,Namangan,,,,
1945,15.57,9.18,2.8,550.39,,,,,,,Namangan,,,,
1946,16.26,9.7,3.17,354.41,,,,,,,Namangan,,,,
1947,17.01,10.38,3.79,459.78,,,,,,,Namangan,,,,
1948,16.29,9.69,3.11,430.16,,,,,,,Namangan,,,,
1949,14.39,8.35,2.34,554.4,,,,,,,Namangan,,,,
1950,15.13,8.59,2.07,341.13,,16.67,48.67,6.31,51.95,0.06,Namangan,,,,
1951,15.4,9.22,3.07,526.57,-0.12,16.6,47.59,4.9,57.17,0.03,Namangan,,,,
1952,15.73,9.59,3.48,519.78,0.58,20.06,42.73,9.17,53.92,0.05,Namangan,,,,
1953,15.78,9.74,3.74,701.04,0.01,20.18,45.01,10.47,55.63,0.07,Namangan,,,,
1954,14.86,8.66,2.46,505.19,1.41,19.73,68.41,7.94,56.14,0.01,Namangan,,,,
1955,17.2,10.56,3.95,387.41,-0.27,24.41,62.62,15.01,49.89,0.1,Namangan,,,,
1956,16.23,9.7,3.19,423.05,-0.17,20.52,51.67,9.32,50.87,0.14,Namangan,,,,
1957,14.9,8.62,2.36,412.86,-0.48,15.6,32.95,4.13,55.73,0.02,Namangan,,,,
1958,16.21,10.04,3.91,632.89,0.76,25.44,59.35,12.27,54.98,0.08,Namangan,,,,
1959,15.51,9.44,3.39,523.97,0.73,28.01,61.81,12.63,54.81,0.05,Namangan,,,,
1960,15.43,9.24,3.07,518.63,0.53,19.39,51.51,12.91,53.97,0.06,Namangan,,,,
1961,16.85,10.43,4.03,296.95,-1.08,11.45,26.51,2.87,49.29,0.09,Namangan,,,,
1962,16.25,10.02,3.81,423.36,-1.37,18.45,44.99,6.89,50.64,0.09,Namangan,,,,
1963,17.1,10.75,4.44,567.42,0.29,19.52,47.35,11.27,53.12,0.05,Namangan,,,,
1964,15.05,8.86,2.69,440.86,0.94,19.33,39.33,11.26,53.87,0.03,Namangan,,,,
1965,16.55,10.32,4.13,414.18,-0.3,27.36,52.41,12.35,51.3,0.07,Namangan,,,,
1966,16.74,10.53,4.34,516.69,-0.03,21.97,46.29,7.98,52.91,0.09,Namangan,,,,
1967,15.9,9.95,4.03,465.7,-0.65,19.5,48.41,11.23,52.9,0.07,Namangan,,,,
1968,15.95,9.93,3.94,489.42,-0.08,16.58,44.69,5.87,53.7,0.11,Namangan,,,,
1969,14.15,8.42,2.69,941.92,2.16,23.11,64.96,18.97,63.23,0.03,Namangan,,,,
1970,16.62,10.34,4.09,408.09,0.5,18.69,43.69,8.22,53.34,0.07,Namangan,,,,
1971,17.17,10.66,4.18,249.31,-1.35,15.51,30.34,3.75,49.49,0.11,Namangan,,,,
1972,13.94,8.03,2.15,554.14,-0.37,21.32,49.96,7.43,55.77,0.02,Namangan,,,,
1973,16.37,10.12,3.89,381.1,0.29,16.98,47.39,7.57,52.34,0.11,Namangan,,,,
1974,15.17,9.19,3.24,420.68,-1.14,13.03,27.8,1.95,53.28,0.07,Namangan,,,,
1975,16.3,10.13,3.99,301.99,-1.11,16.64,33.99,3.79,50.53,0.12,Namangan,,,,
1976,15.37,9.61,3.89,482.98,-0.38,20.05,47.15,10.22,56.85,0.09,Namangan,,,,
1977,16.42,10.47,4.54,634.23,-0.46,37.75,98.94,23.71,55.54,0.09,Namangan,,,,
1978,16.05,10.15,4.28,486.96,0.13,14.55,31.92,4.59,54.82,0.12,Namangan,,,,
1979,16.36,10.43,4.52,483.35,0.01,25.65,60.15,16.18,53.74,0.11,Namangan,,,,
1980,16.44,10.49,4.57,480.75,-0.19,18.56,40.38,9.93,55.96,0.07,Namangan,,,,
1981,16.49,10.69,4.91,574.92,0.32,18.2,36.42,8.22,58.34,0.04,Namangan,,,,
1982,15.65,9.81,4.0,397.24,-0.6,16.66,32.77,9.68,52.8,0.08,Namangan,,,,
1983,17.14,10.95,4.8,393.12,-0.56,15.29,34.6,3.63,53.08,0.11,Namangan,,,,
