Unnamed: 0,Year,Precipitation (Annual Mean mm),5-year smooth (Gaussian Smooth),Average Minimum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Maximum Surface Air Temperature (Annual Mean °C),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Viloyat,Category
66,2016.0,466.41,21.5,9.32,15.71,22.16,-0.75,18.86,38.71,7.51,60.94,0.09,Jizzax,
67,2017.0,362.48,21.62,8.49,14.93,21.42,-0.12,29.71,61.91,10.18,58.71,0.11,Jizzax,
68,2018.0,371.85,21.73,8.58,15.06,21.58,-1.72,33.53,39.74,15.33,58.38,0.13,Jizzax,
69,2019.0,495.92,21.84,9.15,15.61,22.11,0.0,26.9,53.32,12.45,60.12,0.15,Jizzax,
70,2020.0,416.29,21.93,8.2,14.57,20.98,-0.38,25.98,61.86,15.43,60.09,0.09,Jizzax,
71,2021.0,293.42,22.0,8.96,15.71,22.51,-1.78,28.93,56.87,16.83,54.76,0.2,Jizzax,
72,2022.0,542.58,22.07,10.13,15.96,21.85,-1.21,24.21,64.49,12.89,60.87,0.13,Jizzax,
73,2023.0,325.33,22.13,10.12,16.51,22.93,-1.47,21.87,45.95,13.24,56.94,0.18,Jizzax,
74,2024.0,504.88,22.19,9.55,15.61,21.71,-0.95,21.96,38.43,12.65,60.7,0.14,Jizzax,
0,1950.0,341.13,15.49,2.07,8.59,15.13,0.0109459459459459,16.67,48.67,6.31,51.95,0.06,Namangan,
1,1951.0,526.57,15.52,3.07,9.22,15.4,-0.12,16.6,47.59,4.9,57.17,0.03,Namangan,
2,1952.0,519.78,15.58,3.48,9.59,15.73,0.58,20.06,42.73,9.17,53.92,0.05,Namangan,
3,1953.0,701.04,15.67,3.74,9.74,15.78,0.01,20.18,45.01,10.47,55.63,0.07,Namangan,
4,1954.0,505.19,15.75,2.46,8.66,14.86,1.41,19.73,68.41,7.94,56.14,0.01,Namangan,
5,1955.0,387.41,15.81,3.95,10.56,17.2,-0.27,24.41,62.62,15.01,49.89,0.1,Namangan,
6,1956.0,423.05,15.85,3.19,9.7,16.23,-0.17,20.52,51.67,9.32,50.87,0.14,Namangan,
7,1957.0,412.86,15.87,2.36,8.62,14.9,-0.48,15.6,32.95,4.13,55.73,0.02,Namangan,
8,1958.0,632.89,15.89,3.91,10.04,16.21,0.76,25.44,59.35,12.27,54.98,0.08,Namangan,
9,1959.0,523.97,15.93,3.39,9.44,15.51,0.73,28.01,61.81,12.63,54.81,0.05,Namangan,
10,1960.0,518.63,15.99,3.07,9.24,15.43,0.53,19.39,51.51,12.91,53.97,0.06,Namangan,
11,1961.0,296.95,16.08,4.03,10.43,16.85,-1.08,11.45,26.51,2.87,49.29,0.09,Namangan,
12,1962.0,423.36,16.18,3.81,10.02,16.25,-1.37,18.45,44.99,6.89,50.64,0.09,Namangan,
13,1963.0,567.42,16.27,4.44,10.75,17.1,0.29,19.52,47.35,11.27,53.12,0.05,Namangan,
14,1964.0,440.86,16.31,2.69,8.86,15.05,0.94,19.33,39.33,11.26,53.87,0.03,Namangan,
15,1965.0,414.18,16.3,4.13,10.32,16.55,-0.3,27.36,52.41,12.35,51.3,0.07,Namangan,
16,1966.0,516.69,16.22,4.34,10.53,16.74,-0.03,21.97,46.29,7.98,52.91,0.09,Namangan,
17,1967.0,465.7,16.07,4.03,9.95,15.9,-0.65,19.5,48.41,11.23,52.9,0.07,Namangan,
18,1968.0,489.42,15.9,3.94,9.93,15.95,-0.08,16.58,44.69,5.87,53.7,0.11,Namangan,
19,1969.0,941.92,15.73,2.69,8.42,14.15,2.16,23.11,64.96,18.97,63.23,0.03,Namangan,
20,1970.0,408.09,15.61,4.09,10.34,16.62,0.5,18.69,43.69,8.22,53.34,0.07,Namangan,
21,1971.0,249.31,15.56,4.18,10.66,17.17,-1.35,15.51,30.34,3.75,49.49,0.11,Namangan,
22,1972.0,554.14,15.59,2.15,8.03,13.94,-0.37,21.32,49.96,7.43,55.77,0.02,Namangan,
23,1973.0,381.1,15.67,3.89,10.12,16.37,0.29,16.98,47.39,7.57,52.34,0.11,Namangan,
24,1974.0,420.68,15.79,3.24,9.19,15.17,-1.14,13.03,27.8,1.95,53.28,0.07,Namangan,
25,1975.0,301.99,15.91,3.99,10.13,16.3,-1.11,16.64,33.99,3.79,50.53,0.12,Namangan,
26,1976.0,482.98,16.01,3.89,9.61,15.37,-0.38,20.05,47.15,10.22,56.85,0.09,Namangan,
27,1977.0,634.23,16.07,4.54,10.47,16.42,-0.46,37.75,98.94,23.71,55.54,0.09,Namangan,
28,1978.0,486.96,16.11,4.28,10.15,16.05,0.13,14.55,31.92,4.59,54.82,0.12,Namangan,
29,1979.0,483.35,16.14,4.52,10.43,16.36,0.01,25.65,60.15,16.18,53.74,0.11,Namangan,
30,1980.0,480.75,16.16,4.57,10.49,16.44,-0.19,18.56,40.38,9.93,55.96,0.07,Namangan,
31,1981.0,574.92,16.19,4.91,10.69,16.49,0.32,18.2,36.42,8.22,58.34,0.04,Namangan,
32,1982.0,397.24,16.24,4.0,9.81,15.65,-0.6,16.66,32.77,9.68,52.8,0.08,Namangan,
33,1983.0,393.12,16.3,4.8,10.95,17.14,-0.56,15.29,34.6,3.63,53.08,0.11,Namangan,
34,1984.0,520.88,16.36,3.52,9.38,15.28,-0.44,19.95,41.79,10.92,54.44,0.15,Namangan,
35,1985.0,439.1,16.39,4.1,10.11,16.13,0.17,16.05,35.44,7.13,54.51,0.06,Namangan,
36,1986.0,405.86,16.4,4.5,10.44,16.4,-1.11,18.09,39.67,7.25,53.7,0.07,Namangan,
37,1987.0,670.78,16.36,4.68,10.38,16.09,0.85,23.4,59.11,14.32,60.18,0.05,Namangan,
38,1988.0,447.51,16.27,5.01,11.0,17.03,0.99,15.63,37.25,5.06,55.88,0.11,Namangan,
39,1989.0,390.85,16.17,3.92,10.0,16.12,-0.6,28.43,60.7,9.73,54.19,0.05,Namangan,
40,1990.0,517.32,16.07,4.87,10.79,16.73,0.51,21.64,45.18,9.83,57.56,0.12,Namangan,
41,1991.0,525.16,16.0,4.5,10.34,16.19,0.03,23.41,65.68,6.29,58.21,0.05,Namangan,
42,1992.0,465.45,15.99,4.53,10.19,15.87,0.97,24.19,55.03,10.55,59.05,0.03,Namangan,
43,1993.0,766.23,16.04,3.81,9.35,14.91,1.14,22.21,66.07,15.74,61.61,0.03,Namangan,
44,1994.0,504.99,16.16,4.21,10.07,15.96,1.14,19.22,45.49,14.54,57.48,0.08,Namangan,
45,1995.0,268.39,16.31,4.73,10.98,17.27,-0.47,15.05,25.07,4.97,53.61,0.07,Namangan,
46,1996.0,488.34,16.48,3.81,9.78,15.77,0.08,21.92,45.42,13.22,57.44,0.07,Namangan,
47,1997.0,400.83,16.65,4.97,11.08,17.21,-0.62,16.43,32.64,5.44,55.52,0.14,Namangan,
48,1998.0,830.96,16.8,4.88,10.63,16.41,0.84,24.85,61.09,12.42,59.81,0.07,Namangan,
49,1999.0,583.57,16.92,5.38,11.24,17.11,0.92,23.92,40.17,10.38,57.55,0.04,Namangan,
50,2000.0,403.86,17.01,5.21,11.12,17.05,-0.25,23.81,47.85,8.14,54.34,0.07,Namangan,
51,2001.0,413.91,17.08,5.3,11.4,17.52,-0.51,17.63,40.73,5.85,54.43,0.07,Namangan,
52,2002.0,645.22,17.12,5.33,11.24,17.18,0.45,14.49,36.11,4.9,57.16,0.09,Namangan,
53,2003.0,692.04,17.14,5.12,10.64,16.2,0.86,22.98,61.64,9.7,58.88,0.1,Namangan,
54,2004.0,547.84,17.13,6.02,11.71,17.44,0.44,27.59,57.98,12.43,57.1,0.09,Namangan,
55,2005.0,463.24,17.11,5.53,11.32,17.13,0.66,20.37,50.43,11.7,56.53,0.09,Namangan,
56,2006.0,473.52,17.08,5.44,11.29,17.19,-0.15,20.05,47.32,9.32,57.43,0.09,Namangan,
57,2007.0,478.89,17.04,5.39,11.33,17.28,-0.43,21.37,62.65,9.67,55.51,0.08,Namangan,
58,2008.0,388.73,17.01,5.01,10.82,16.66,-1.24,22.17,48.53,12.3,54.81,0.15,Namangan,
59,2009.0,519.36,16.99,5.47,11.21,16.97,-0.06,15.36,37.45,6.32,56.34,0.05,Namangan,
60,2010.0,548.22,16.98,5.97,11.8,17.66,0.95,19.8,47.4,9.17,58.92,0.04,Namangan,
61,2011.0,506.42,17.0,5.13,10.85,16.61,-0.64,22.29,61.49,8.45,56.25,0.11,Namangan,
62,2012.0,395.53,17.05,4.52,10.49,16.48,0.46,16.6,45.2,5.92,55.41,0.07,Namangan,
63,2013.0,450.94,17.14,5.8,11.72,17.68,-0.66,16.08,30.52,8.1,55.2,0.1,Namangan,
64,2014.0,485.03,17.28,4.19,10.41,16.66,-0.42,18.18,40.43,6.36,53.55,0.12,Namangan,
65,2015.0,587.38,17.44,5.85,11.68,17.54,-0.21,21.77,40.06,8.05,57.9,0.12,Namangan,
66,2016.0,595.71,17.63,5.72,12.03,18.38,0.29,20.27,47.27,9.51,56.5,0.1,Namangan,
67,2017.0,493.34,17.81,4.78,11.27,17.8,0.96,23.1,46.44,10.65,55.06,0.1,Namangan,
68,2018.0,463.57,17.97,4.64,11.27,17.93,0.03,17.63,52.38,10.53,56.07,0.11,Namangan,
69,2019.0,452.01,18.1,5.62,11.96,18.32,0.23,19.7,46.89,8.79,55.57,0.13,Namangan,
70,2020.0,445.51,18.18,4.67,10.93,17.21,-0.37,17.66,45.35,6.52,54.71,0.05,Namangan,
71,2021.0,360.54,18.23,5.49,12.0,18.54,-0.37,20.3,44.81,12.88,50.89,0.09,Namangan,
72,2022.0,596.95,18.24,6.63,12.3,18.0,-0.5,25.33,62.76,7.01,53.81,0.17,Namangan,
73,2023.0,377.9,18.24,6.63,12.79,18.99,-0.57,21.58,54.86,15.49,52.27,0.15,Namangan,
74,2024.0,552.88,18.23,6.01,11.93,17.89,-0.49,35.84,66.35,17.52,57.74,0.1,Namangan,
0,1950.0,98.85,19.0,5.21,11.85,18.51,-0.1633783783783783,10.29,16.38,3.76,45.66,0.03,Navoiy,
1,1951.0,118.64,19.01,6.54,12.74,18.97,-0.1,8.93,17.06,2.17,45.63,0.05,Navoiy,
2,1952.0,168.84,19.05,6.73,12.93,19.15,0.43,13.32,23.22,3.25,45.61,0.11,Navoiy,
3,1953.0,184.14,19.11,7.41,13.34,19.31,0.6,14.66,23.03,5.98,49.96,0.06,Navoiy,
4,1954.0,147.26,19.17,6.02,12.13,18.27,2.01,20.13,35.16,15.9,49.91,0.03,Navoiy,
5,1955.0,105.77,19.22,7.52,14.15,20.81,-0.5,8.33,14.68,0.66,42.65,0.14,Navoiy,
6,1956.0,137.42,19.26,6.76,12.97,19.2,0.48,15.03,25.2,4.73,45.54,0.09,Navoiy,
7,1957.0,131.55,19.3,6.17,12.34,18.54,0.28,11.2,20.06,1.05,48.12,0.04,Navoiy,
8,1958.0,169.08,19.35,7.52,13.64,19.8,0.54,10.66,17.56,0.8,47.92,0.06,Navoiy,
9,1959.0,141.68,19.41,6.68,12.66,18.65,1.08,12.54,22.74,4.51,50.18,0.03,Navoiy,
10,1960.0,126.32,19.51,6.56,12.78,19.03,0.31,8.18,12.68,1.21,48.14,0.07,Navoiy,
11,1961.0,126.87,19.63,7.59,14.1,20.64,-0.42,16.22,27.77,7.71,46.24,0.08,Navoiy,
12,1962.0,154.6,19.77,7.29,13.56,19.88,-0.04,14.03,17.04,4.99,48.68,0.09,Navoiy,
13,1963.0,146.99,19.89,7.95,14.24,20.56,-0.14,13.69,20.95,4.19,48.11,0.06,Navoiy,
14,1964.0,162.37,19.97,6.32,12.49,18.7,1.4,18.02,26.9,9.83,50.35,0.05,Navoiy,
15,1965.0,109.54,19.98,7.48,13.77,20.09,0.24,11.07,18.76,2.75,47.33,0.08,Navoiy,
16,1966.0,119.83,19.9,7.77,14.1,20.46,-0.62,8.64,16.24,0.13,45.3,0.13,Navoiy,
17,1967.0,172.22,19.76,7.43,13.55,19.71,0.13,11.45,19.7,1.01,50.64,0.08,Navoiy,
18,1968.0,139.39,19.59,7.27,13.48,19.73,0.18,11.22,18.82,0.26,48.39,0.09,Navoiy,
19,1969.0,256.65,19.42,6.05,11.93,17.84,1.75,19.36,33.76,6.44,55.27,0.07,Navoiy,
20,1970.0,132.35,19.29,7.38,13.77,20.2,0.68,13.4,21.63,5.05,49.21,0.06,Navoiy,
21,1971.0,98.89,19.24,7.73,14.24,20.79,-0.44,7.16,12.13,0.0,47.06,0.07,Navoiy,
22,1972.0,152.34,19.28,5.42,11.53,17.66,0.38,13.02,23.33,4.02,50.08,0.02,Navoiy,
23,1973.0,162.58,19.36,7.42,13.64,19.9,0.36,11.9,17.77,1.01,49.82,0.11,Navoiy,
24,1974.0,130.58,19.48,6.48,12.73,18.99,0.04,12.09,19.5,1.88,45.58,0.09,Navoiy,
25,1975.0,100.94,19.6,7.47,13.86,20.29,-0.59,10.33,19.8,2.46,45.0,0.14,Navoiy,
26,1976.0,159.05,19.69,6.82,12.84,18.88,-0.18,15.17,24.31,6.84,51.09,0.12,Navoiy,
27,1977.0,139.25,19.74,7.77,13.88,20.03,-0.27,8.57,15.06,0.05,50.56,0.11,Navoiy,
28,1978.0,224.02,19.75,7.45,13.49,19.57,1.19,15.03,25.25,9.65,53.09,0.1,Navoiy,
29,1979.0,163.62,19.76,7.74,13.95,20.2,1.24,14.45,25.31,4.02,50.58,0.13,Navoiy,
30,1980.0,179.09,19.77,7.53,13.65,19.79,0.25,13.97,17.03,3.24,52.66,0.12,Navoiy,
31,1981.0,222.33,19.81,8.33,14.22,20.14,1.55,17.59,29.12,7.62,54.88,0.06,Navoiy,
32,1982.0,158.14,19.88,7.12,13.19,19.29,0.73,11.72,17.28,7.22,52.49,0.05,Navoiy,
33,1983.0,128.38,19.99,8.48,14.77,21.11,-0.27,12.09,17.88,1.67,49.15,0.18,Navoiy,
34,1984.0,145.45,20.1,6.67,12.78,18.91,0.2,15.58,27.21,7.64,48.68,0.19,Navoiy,
35,1985.0,132.97,20.19,7.37,13.65,19.96,0.03,13.35,20.04,5.0,49.16,0.12,Navoiy,
36,1986.0,128.67,20.22,7.54,13.82,20.13,-0.68,10.5,20.93,1.03,48.03,0.09,Navoiy,
37,1987.0,170.38,20.18,7.59,13.73,19.9,0.36,11.08,20.17,3.65,49.85,0.1,Navoiy,
38,1988.0,162.38,20.07,8.15,14.35,20.58,0.57,13.8,24.21,6.02,51.2,0.11,Navoiy,
39,1989.0,136.41,19.92,7.41,13.76,20.15,0.11,9.96,24.55,0.22,49.52,0.08,Navoiy,
40,1990.0,140.11,19.78,8.13,14.3,20.51,-0.2,8.66,15.27,0.48,50.49,0.11,Navoiy,
41,1991.0,182.94,19.69,7.95,13.95,19.97,0.39,20.49,34.91,12.04,50.78,0.08,Navoiy,
42,1992.0,187.97,19.69,7.56,13.43,19.33,1.1,12.3,23.34,2.0,52.9,0.06,Navoiy,
43,1993.0,174.25,19.8,7.01,12.85,18.73,0.59,11.36,21.92,0.53,51.14,0.09,Navoiy,
44,1994.0,149.61,19.99,7.2,13.4,19.63,0.53,14.91,22.19,3.05,50.94,0.07,Navoiy,
45,1995.0,89.85,20.22,8.29,14.87,21.47,-0.55,7.07,13.13,0.46,46.92,0.12,Navoiy,
46,1996.0,90.66,20.47,6.81,13.27,19.76,-0.93,10.56,15.54,0.27,44.89,0.09,Navoiy,
47,1997.0,167.87,20.68,8.16,14.57,21.01,-0.26,13.74,29.58,2.58,47.76,0.14,Navoiy,
48,1998.0,179.74,20.82,7.79,14.05,20.34,0.67,12.25,23.27,0.99,50.23,0.12,Navoiy,
49,1999.0,133.14,20.91,8.54,14.91,21.31,-0.78,10.91,14.69,0.5,47.3,0.11,Navoiy,
50,2000.0,112.29,20.94,8.39,14.76,21.17,-1.45,7.8,14.51,0.26,48.01,0.12,Navoiy,
51,2001.0,116.96,20.93,8.56,14.82,21.13,-1.67,8.11,12.59,0.64,47.76,0.09,Navoiy,
52,2002.0,180.42,20.91,8.61,14.81,21.04,0.28,19.78,34.24,8.42,50.75,0.15,Navoiy,
53,2003.0,230.0,20.89,8.27,14.0,19.77,1.18,13.6,24.95,2.9,54.19,0.1,Navoiy,
54,2004.0,174.28,20.88,9.19,15.24,21.32,-0.24,14.24,23.31,6.9,49.34,0.11,Navoiy,
55,2005.0,160.76,20.86,8.72,14.86,21.04,-0.09,14.33,25.29,4.76,48.77,0.18,Navoiy,
56,2006.0,135.22,20.85,8.55,14.68,20.84,-1.23,8.52,14.63,0.41,47.67,0.12,Navoiy,
57,2007.0,138.37,20.83,8.5,14.76,21.06,-1.18,12.76,24.64,2.87,47.09,0.14,Navoiy,
58,2008.0,106.54,20.81,7.92,14.19,20.49,-1.97,5.88,11.16,0.93,47.7,0.19,Navoiy,
59,2009.0,159.9,20.77,8.62,14.58,20.57,-0.82,12.81,18.02,1.86,50.08,0.07,Navoiy,
60,2010.0,103.83,20.73,8.97,15.28,21.62,-1.03,13.43,20.76,4.09,45.44,0.18,Navoiy,
61,2011.0,142.81,20.7,7.93,14.01,20.12,-1.98,14.93,28.41,7.41,46.01,0.17,Navoiy,
62,2012.0,131.46,20.69,7.8,13.97,20.18,-0.72,10.62,17.96,1.39,44.49,0.17,Navoiy,
63,2013.0,177.17,20.69,9.13,15.28,21.46,-1.41,14.38,21.97,3.31,45.93,0.12,Navoiy,
64,2014.0,141.37,20.73,7.49,13.77,20.07,-0.6,16.68,24.33,6.46,46.4,0.16,Navoiy,
65,2015.0,184.29,20.81,9.19,15.08,21.01,-0.82,13.99,27.62,2.73,48.74,0.22,Navoiy,
66,2016.0,201.6,20.9,9.44,15.45,21.49,-0.67,11.4,16.28,4.79,48.76,0.1,Navoiy,
67,2017.0,152.36,21.01,8.57,14.71,20.88,-0.33,9.54,20.06,1.68,46.97,0.16,Navoiy,
68,2018.0,134.75,21.12,8.43,14.6,20.8,-1.61,11.66,19.23,5.0,45.58,0.17,Navoiy,
69,2019.0,165.85,21.23,9.33,15.36,21.43,-0.7,9.91,17.96,1.12,47.19,0.21,Navoiy,
70,2020.0,132.05,21.34,8.38,14.44,20.54,-1.28,21.56,31.01,15.11,47.42,0.15,Navoiy,
71,2021.0,92.52,21.44,9.11,15.52,21.97,-1.88,13.71,21.52,1.91,43.85,0.25,Navoiy,
72,2022.0,144.79,21.54,9.87,15.59,21.35,-1.6,15.16,28.75,4.69,48.92,0.18,Navoiy,
73,2023.0,108.8,21.63,10.15,16.37,22.62,-2.42,8.38,13.67,2.8,43.85,0.19,Navoiy,
74,2024.0,141.59,21.73,9.59,15.3,21.04,-1.28,12.51,19.02,6.48,47.96,0.12,Navoiy,
0,1950.0,73.1,16.54,3.38,9.52,15.67,-0.2656756756756757,5.23,7.9,0.63,50.97,0.05,Qaraqalpogiston,
1,1951.0,100.84,16.56,4.58,10.6,16.64,-0.44,10.14,15.11,0.17,51.24,0.07,Qaraqalpogiston,
2,1952.0,126.76,16.6,4.69,10.63,16.59,0.47,14.62,25.22,5.25,51.61,0.13,Qaraqalpogiston,
3,1953.0,117.89,16.64,5.42,11.13,16.85,-0.07,8.85,13.29,0.24,54.16,0.06,Qaraqalpogiston,
4,1954.0,90.83,16.68,3.93,9.9,15.88,1.15,10.42,16.1,2.18,55.65,0.05,Qaraqalpogiston,
5,1955.0,75.19,16.71,5.6,11.94,18.31,-0.86,12.77,21.15,5.3,48.68,0.15,Qaraqalpogiston,
6,1956.0,92.43,16.73,4.47,10.33,16.2,0.12,9.8,14.93,3.03,52.66,0.09,Qaraqalpogiston,
7,1957.0,84.63,16.76,4.77,10.88,17.02,-0.37,9.26,11.48,3.37,51.38,0.03,Qaraqalpogiston,
8,1958.0,134.27,16.8,5.58,11.26,16.97,0.35,12.23,22.61,7.38,54.61,0.05,Qaraqalpogiston,
9,1959.0,101.02,16.87,4.16,9.84,15.54,0.85,8.28,15.11,0.24,56.72,0.05,Qaraqalpogiston,
10,1960.0,77.07,16.98,4.26,10.33,16.42,0.46,10.61,15.0,3.11,54.83,0.08,Qaraqalpogiston,
11,1961.0,74.06,17.13,5.9,12.12,18.37,-0.75,8.08,13.75,2.22,54.58,0.09,Qaraqalpogiston,
12,1962.0,104.11,17.29,5.75,11.78,17.85,-0.4,7.02,10.11,0.0,55.95,0.12,Qaraqalpogiston,
13,1963.0,137.37,17.45,6.0,11.9,17.84,0.15,9.7,19.21,2.29,57.35,0.04,Qaraqalpogiston,
14,1964.0,117.97,17.56,4.5,10.4,16.33,1.5,8.55,13.34,0.25,58.28,0.07,Qaraqalpogiston,
15,1965.0,104.05,17.61,5.48,11.48,17.52,0.34,7.51,12.3,0.71,57.01,0.07,Qaraqalpogiston,
16,1966.0,114.86,17.57,5.59,11.93,18.29,-0.66,11.92,14.83,5.82,53.16,0.12,Qaraqalpogiston,
17,1967.0,127.63,17.45,5.37,11.49,17.63,0.15,14.52,21.31,5.57,58.78,0.06,Qaraqalpogiston,
18,1968.0,100.05,17.31,4.86,11.11,17.38,-0.25,11.12,13.8,1.93,54.74,0.07,Qaraqalpogiston,
19,1969.0,171.14,17.15,3.9,9.64,15.4,0.87,16.96,28.45,9.51,58.75,0.07,Qaraqalpogiston,
20,1970.0,77.16,17.03,5.13,11.34,17.57,0.24,8.62,13.02,0.66,55.2,0.05,Qaraqalpogiston,
21,1971.0,76.12,16.97,5.69,12.01,18.36,-0.4,7.78,10.62,0.63,55.77,0.06,Qaraqalpogiston,
22,1972.0,72.54,16.98,3.47,9.77,16.09,-0.08,8.1,13.07,1.54,54.92,0.05,Qaraqalpogiston,
23,1973.0,156.85,17.05,5.43,11.26,17.12,0.56,12.32,22.67,4.06,59.43,0.11,Qaraqalpogiston,
24,1974.0,78.96,17.14,4.51,10.76,17.03,0.05,7.03,11.48,0.0,54.13,0.07,Qaraqalpogiston,
25,1975.0,59.88,17.25,5.81,12.12,18.45,-0.97,7.89,12.22,0.0,52.42,0.16,Qaraqalpogiston,
26,1976.0,104.95,17.34,4.45,10.26,16.09,0.08,11.98,20.91,3.25,58.9,0.11,Qaraqalpogiston,
27,1977.0,90.78,17.42,5.58,11.54,17.52,-0.14,7.69,9.25,1.55,57.54,0.1,Qaraqalpogiston,
28,1978.0,173.63,17.47,5.27,11.18,17.11,0.74,12.95,20.4,3.06,59.58,0.09,Qaraqalpogiston,
29,1979.0,112.73,17.52,6.2,12.26,18.35,0.8,17.13,23.39,9.92,57.03,0.12,Qaraqalpogiston,
30,1980.0,145.64,17.58,5.06,10.99,16.93,0.42,10.17,16.72,3.99,61.24,0.11,Qaraqalpogiston,
31,1981.0,187.78,17.64,6.55,12.28,18.04,1.53,17.38,29.12,6.11,61.13,0.07,Qaraqalpogiston,
32,1982.0,118.52,17.74,4.9,11.17,17.46,0.47,8.75,13.1,2.35,59.46,0.04,Qaraqalpogiston,
33,1983.0,126.3,17.84,6.98,13.1,19.25,0.44,9.06,18.24,2.76,58.86,0.18,Qaraqalpogiston,
34,1984.0,90.86,17.93,4.43,10.64,16.88,0.01,13.88,18.71,11.59,56.0,0.2,Qaraqalpogiston,
35,1985.0,114.9,18.01,5.21,11.43,17.68,0.14,12.68,24.76,2.76,57.01,0.11,Qaraqalpogiston,
36,1986.0,96.87,18.03,5.32,11.59,17.9,-0.48,10.93,19.27,1.13,55.15,0.11,Qaraqalpogiston,
37,1987.0,147.99,18.0,5.0,11.04,17.11,1.1,13.05,20.52,2.66,60.12,0.11,Qaraqalpogiston,
38,1988.0,146.4,17.9,5.72,11.91,18.11,0.65,11.82,25.56,3.39,59.48,0.11,Qaraqalpogiston,
39,1989.0,111.92,17.78,5.8,12.23,18.69,0.59,19.96,27.38,10.65,58.01,0.11,Qaraqalpogiston,
40,1990.0,142.22,17.68,6.1,12.33,18.6,-0.26,15.04,20.27,6.31,58.35,0.1,Qaraqalpogiston,
41,1991.0,126.29,17.61,5.91,12.07,18.27,0.61,13.1,28.72,5.49,58.37,0.1,Qaraqalpogiston,
42,1992.0,146.37,17.63,5.14,11.04,16.97,0.74,11.05,18.79,4.49,59.74,0.05,Qaraqalpogiston,
43,1993.0,140.34,17.74,4.82,10.75,16.7,1.15,17.51,28.41,7.93,60.12,0.09,Qaraqalpogiston,
44,1994.0,156.22,17.92,4.59,10.77,16.97,1.41,19.95,23.13,9.05,60.01,0.04,Qaraqalpogiston,
45,1995.0,90.56,18.15,6.56,13.07,19.62,0.11,11.45,15.9,3.92,55.39,0.11,Qaraqalpogiston,
46,1996.0,62.28,18.39,4.29,10.89,17.51,-0.55,11.1,11.32,12.25,53.64,0.11,Qaraqalpogiston,
47,1997.0,100.98,18.61,5.71,12.32,18.96,-0.47,15.89,24.94,4.95,54.02,0.12,Qaraqalpogiston,
48,1998.0,114.46,18.77,5.44,11.9,18.39,-0.03,14.06,22.4,5.82,55.73,0.17,Qaraqalpogiston,
49,1999.0,119.09,18.88,6.13,12.86,19.63,-0.97,8.02,11.84,0.57,55.68,0.14,Qaraqalpogiston,
50,2000.0,112.42,18.95,6.3,12.76,19.24,-0.79,7.28,12.61,0.23,56.55,0.14,Qaraqalpogiston,
51,2001.0,123.02,18.99,6.31,12.72,19.17,-1.04,11.23,13.67,6.05,54.17,0.1,Qaraqalpogiston,
52,2002.0,139.81,19.0,6.59,12.73,18.89,0.35,16.59,27.07,5.01,56.8,0.16,Qaraqalpogiston,
53,2003.0,181.81,19.01,5.92,11.77,17.64,1.02,13.48,20.17,5.29,59.25,0.1,Qaraqalpogiston,
54,2004.0,146.08,19.01,7.22,13.36,19.54,-0.07,11.82,14.87,5.48,54.92,0.08,Qaraqalpogiston,
55,2005.0,120.32,19.01,6.8,13.1,19.42,-1.17,11.52,17.06,9.2,53.29,0.19,Qaraqalpogiston,
56,2006.0,134.86,19.01,6.27,12.57,18.9,-1.25,10.62,13.53,3.19,54.54,0.2,Qaraqalpogiston,
57,2007.0,114.29,18.99,6.49,12.82,19.18,-1.16,8.55,16.79,0.0,53.69,0.14,Qaraqalpogiston,
58,2008.0,105.38,18.96,5.9,12.42,18.97,-2.11,7.31,11.78,0.28,52.78,0.19,Qaraqalpogiston,
59,2009.0,125.42,18.93,6.32,12.43,18.57,-1.2,7.72,12.68,0.25,55.68,0.1,Qaraqalpogiston,
60,2010.0,106.55,18.89,6.85,13.28,19.75,-0.91,8.14,14.02,1.27,52.33,0.26,Qaraqalpogiston,
61,2011.0,124.11,18.86,5.31,11.53,17.77,-2.28,7.98,11.31,3.82,52.13,0.23,Qaraqalpogiston,
62,2012.0,98.79,18.84,5.81,12.19,18.6,-1.62,15.62,20.27,6.29,50.32,0.23,Qaraqalpogiston,
63,2013.0,142.98,18.86,7.17,13.54,19.96,-1.87,12.03,18.3,5.34,52.6,0.09,Qaraqalpogiston,
64,2014.0,131.55,18.92,5.22,11.74,18.28,-1.57,7.48,11.61,1.07,51.21,0.24,Qaraqalpogiston,
65,2015.0,158.1,19.01,7.05,13.08,19.14,-0.81,17.35,24.09,10.56,54.83,0.25,Qaraqalpogiston,
66,2016.0,190.57,19.14,7.45,13.49,19.57,0.1,11.48,18.93,4.8,56.31,0.11,Qaraqalpogiston,
67,2017.0,123.11,19.28,6.47,12.86,19.28,-0.39,9.15,14.26,1.96,52.64,0.24,Qaraqalpogiston,
68,2018.0,101.75,19.44,5.81,12.25,18.73,-1.01,13.98,20.19,7.44,50.97,0.22,Qaraqalpogiston,
69,2019.0,116.27,19.6,6.95,13.34,19.76,-1.17,12.19,21.46,3.87,52.62,0.24,Qaraqalpogiston,
70,2020.0,86.37,19.76,6.52,13.02,19.55,-2.24,9.54,17.72,1.96,49.14,0.24,Qaraqalpogiston,
